CaseId,b52,b73,d1,d2,sum
 1,   0,   0, 30.0000, 30.0000, 60.0000
 2,   0,  50, 56.4088, 70.7974,127.2062
 3,   0, 100,107.9498,147.3723,255.3221
 4,   0, 150,154.3134,230.0527,384.3662
 5,   0, 200,196.5008,317.9577,514.4585
 6,   0, 250,234.1112,411.2578,645.3690
 7,   0, 300,267.5912,509.6412,777.2323
 8,   0, 350,297.6219,612.4259,910.0478
 9,   0, 400,323.8697,720.0228,1043.8926
10,  50,   0, 58.6076, 71.9383,130.5458
11,  50,  50, 78.6958, 96.2885,174.9843
12,  50, 100, 84.1802, 98.7812,182.9614
13,  50, 150, 84.1802, 98.7812,182.9614
14,  50, 200, 84.1802, 98.7812,182.9614
15,  50, 250, 84.1802, 98.7812,182.9614
16,  50, 300, 84.1802, 98.7812,182.9614
17,  50, 350, 84.1802, 98.7812,182.9614
18,  50, 400, 84.1802, 98.7812,182.9614
19, 100,   0,112.3262,150.1865,262.5127
20, 100,  50, 78.6591, 96.3303,174.9894
21, 100, 100,149.8815,200.7653,350.6468
22, 100, 150,162.5946,205.2115,367.8060
23, 100, 200,162.5946,205.2115,367.8060
24, 100, 250,162.5946,205.2115,367.8060
25, 100, 300,162.5946,205.2115,367.8060
26, 100, 350,162.5946,205.2115,367.8060
27, 100, 400,162.5946,205.2115,367.8060
28, 150,   0,161.6110,234.2415,395.8525
29, 150,  50, 78.6591, 96.3303,174.9894
30, 150, 100,150.4850,200.1482,350.6331
31, 150, 150,213.3458,313.7294,527.0751
32, 150, 200,234.9634,319.7240,554.6874
33, 150, 250,234.9634,319.7240,554.6874
34, 150, 300,234.9634,319.7240,554.6874
35, 150, 350,234.9634,319.7240,554.6874
36, 150, 400,234.9634,319.7240,554.6874
37, 200,   0,206.4115,324.2523,530.6638
38, 200,  50, 78.6591, 96.3303,174.9894
39, 200, 100,150.4850,200.1482,350.6331
40, 200, 150,213.3458,313.7294,527.0751
41, 200, 200,270.0606,434.0730,704.1336
42, 200, 250,301.2457,442.1734,743.4191
43, 200, 300,301.2457,442.1734,743.4191
44, 200, 350,301.2457,442.1734,743.4191
45, 200, 400,301.2457,442.1734,743.4191
46, 250,   0,246.7055,420.1057,666.8112
47, 250,  50, 78.6591, 96.3303,174.9894
48, 250, 100,150.4850,200.1482,350.6331
49, 250, 150,213.3458,313.7294,527.0751
50, 250, 200,269.9998,434.1435,704.1433
51, 250, 250,320.4995,561.4187,881.9182
52, 250, 300,362.4185,571.7047,934.1232
53, 250, 350,362.4185,571.7047,934.1232
54, 250, 400,362.4185,571.7047,934.1232
55, 300,   0,283.1932,521.1764,804.3696
56, 300,  50, 78.6591, 96.3303,174.9894
57, 300, 100,150.4850,200.1482,350.6331
58, 300, 150,213.3458,313.7294,527.0751
59, 300, 200,269.9998,434.1435,704.1433
60, 300, 250,320.4995,561.4187,881.9182
61, 300, 300,364.6746,695.7455,1060.4201
62, 300, 350,417.8139,708.7445,1126.5584
63, 300, 400,417.8139,708.7445,1126.5584
64, 350,   0,315.9784,627.3153,943.2937
65, 350,  50, 78.6591, 96.3303,174.9894
66, 350, 100,150.4850,200.1482,350.6331
67, 350, 150,213.3458,313.7294,527.0751
68, 350, 200,269.9998,434.1435,704.1433
69, 350, 250,320.4995,561.4187,881.9182
70, 350, 300,364.6746,695.7455,1060.4201
71, 350, 350,402.6878,837.0504,1239.7382
72, 350, 400,469.3365,851.3172,1320.6537
73, 400,   0,345.0551,738.4820,1083.5372
74, 400,  50, 78.6591, 96.3303,174.9894
75, 400, 100,150.4850,200.1482,350.6331
76, 400, 150,213.3458,313.7294,527.0751
77, 400, 200,269.9998,434.1435,704.1433
78, 400, 250,320.4995,561.4187,881.9182
79, 400, 300,364.6746,695.7455,1060.4201
80, 400, 350,402.6878,837.0504,1239.7382
81, 400, 400,435.8342,984.3278,1420.1620
