CaseId,b52,b73,lid,flow,cost
 1,   0,   0, 1, 50.7237, 20.0000
 1,   0,   0, 2,  0.0000,  5.0000
 1,   0,   0, 3, 49.2763,  5.0000
 1,   0,   0, 4, 96.6412,  3.1933
 1,   0,   0, 5,113.8630, 21.2277
 1,   0,   0, 6,  0.0000,  2.0000
 1,   0,   0, 7, 45.9175, 12.0000
 1,   0,   0, 8, 17.2218, 25.0000
 1,   0,   0, 9,  0.0000,  3.0000
 1,   0,   0,10, 36.8607,  4.0000
 1,   0,   0,11,  0.0000,  3.0000
 1,   0,   0,12, 86.1370, 40.0000
 2,   0,  50, 1, 61.9331, 20.0000
 2,   0,  50, 2,  0.0000,  5.0000
 2,   0,  50, 3, 84.3058,  5.0001
 2,   0,  50, 4,122.5065,  3.2450
 2,   0,  50, 5,195.2488, 21.3905
 2,   0,  50, 6,  0.0000,  2.0000
 2,   0,  50, 7, 60.5734, 12.0000
 2,   0,  50, 8, 22.7471, 25.0000
 2,   0,  50, 9,  0.0000,  3.0000
 2,   0,  50,10, 74.7336,  4.0001
 2,   0,  50,11, 49.9953,  3.0000
 2,   0,  50,12,109.0442, 40.0000
 3,   0, 100, 1, 72.1956, 20.0000
 3,   0, 100, 2,  0.0000,  5.0000
 3,   0, 100, 3,116.7230,  5.0004
 3,   0, 100, 4,148.4065,  3.2968
 3,   0, 100, 5,277.1043, 21.5542
 3,   0, 100, 6,  0.0000,  2.0000
 3,   0, 100, 7, 76.2109, 12.0000
 3,   0, 100, 8, 28.7018, 25.0000
 3,   0, 100, 9,  0.0000,  3.0000
 3,   0, 100,10,115.6036,  4.0004
 3,   0, 100,11, 99.9960,  3.0000
 3,   0, 100,12,132.3305, 40.0000
 4,   0, 150, 1, 81.5500, 20.0000
 4,   0, 150, 2,  0.0000,  5.0000
 4,   0, 150, 3,146.6083,  5.0011
 4,   0, 150, 4,174.3342,  3.3487
 4,   0, 150, 5,359.4123, 21.7188
 4,   0, 150, 6,  0.0000,  2.0000
 4,   0, 150, 7, 92.7842, 12.0000
 4,   0, 150, 8, 35.0748, 25.0000
 4,   0, 150, 9,  0.0000,  3.0000
 4,   0, 150,10,159.3990,  4.0015
 4,   0, 150,11,150.0032,  3.0000
 4,   0, 150,12,156.0040, 40.0001
 5,   0, 200, 1, 90.0204, 20.0000
 5,   0, 200, 2,  0.0000,  5.0000
 5,   0, 200, 3,173.9966,  5.0022
 5,   0, 200, 4,200.2810,  3.4006
 5,   0, 200, 5,442.1438, 21.8843
 5,   0, 200, 6,  0.0000,  2.0000
 5,   0, 200, 7,110.2606, 12.0000
 5,   0, 200, 8, 41.8594, 25.0000
 5,   0, 200, 9,  0.0000,  3.0000
 5,   0, 200,10,206.0722,  4.0043
 5,   0, 200,11,200.0033,  3.0000
 5,   0, 200,12,180.0655, 40.0002
 6,   0, 250, 1, 97.6740, 20.0000
 6,   0, 250, 2,  0.0000,  5.0000
 6,   0, 250, 3,199.0617,  5.0038
 6,   0, 250, 4,226.2454,  3.4525
 6,   0, 250, 5,525.2829, 22.0506
 6,   0, 250, 6,  0.0000,  2.0000
 6,   0, 250, 7,128.5714, 12.0000
 6,   0, 250, 8, 49.0359, 25.0000
 6,   0, 250, 9,  0.0000,  3.0000
 6,   0, 250,10,255.4665,  4.0102
 6,   0, 250,11,250.0016,  3.0000
 6,   0, 250,12,204.5267, 40.0003
 7,   0, 300, 1,104.5615, 20.0000
 7,   0, 300, 2,  0.0000,  5.0000
 7,   0, 300, 3,221.9277,  5.0058
 7,   0, 300, 4,252.2351,  3.5045
 7,   0, 300, 5,608.8230, 22.2176
 7,   0, 300, 6,  0.0000,  2.0000
 7,   0, 300, 7,147.6736, 12.0000
 7,   0, 300, 8, 56.5926, 25.0000
 7,   0, 300, 9,  0.0000,  3.0000
 7,   0, 300,10,307.4591,  4.0214
 7,   0, 300,11,299.9952,  3.0000
 7,   0, 300,12,229.3915, 40.0004
 8,   0, 350, 1,110.7241, 20.0000
 8,   0, 350, 2,  0.0000,  5.0000
 8,   0, 350, 3,242.6943,  5.0083
 8,   0, 350, 4,278.2806,  3.5566
 8,   0, 350, 5,692.8067, 22.3856
 8,   0, 350, 6,  0.0000,  2.0000
 8,   0, 350, 7,167.5565, 12.0000
 8,   0, 350, 8, 64.5314, 25.0000
 8,   0, 350, 9,  0.0000,  3.0000
 8,   0, 350,10,361.9764,  4.0412
 8,   0, 350,11,349.9947,  3.0000
 8,   0, 350,12,254.6760, 40.0006
 9,   0, 400, 1,116.2078, 20.0000
 9,   0, 400, 2,  0.0000,  5.0000
 9,   0, 400, 3,261.4763,  5.0112
 9,   0, 400, 4,304.4280,  3.6089
 9,   0, 400, 5,777.2836, 22.5546
 9,   0, 400, 6,  0.0000,  2.0000
 9,   0, 400, 7,188.2202, 12.0000
 9,   0, 400, 8, 72.8585, 25.0000
 9,   0, 400, 9,  0.0000,  3.0000
 9,   0, 400,10,418.9074,  4.0739
 9,   0, 400,11,399.9971,  3.0000
 9,   0, 400,12,280.3866, 40.0009
10,  50,   0, 1, 63.1443, 20.0000
10,  50,   0, 2, 23.7921,  5.0000
10,  50,   0, 3, 61.5397,  5.0000
10,  50,   0, 4,174.7712,  3.3495
10,  50,   0, 5,197.9792, 21.3960
10,  50,   0, 6, 49.9960,  2.0000
10,  50,   0, 7, 61.6309, 12.0000
10,  50,   0, 8, 23.2080, 25.0000
10,  50,   0, 9, 26.2038,  3.0000
10,  50,   0,10, 49.7085,  4.0000
10,  50,   0,11,  0.0000,  3.0000
10,  50,   0,12,111.2482, 40.0000
11,  50,  50, 1, 61.8206, 20.0000
