CaseId,b52,b73,pid,flow,cost
 1,   0,   0, 1, 50.7237, 44.4210
 1,   0,   0, 2, 49.2763, 45.0000
 1,   0,   0, 3,  0.0000, 31.4210
 1,   0,   0, 4,  0.0000, 29.2277
 1,   0,   0, 5, 17.2218, 46.2277
 1,   0,   0, 6, 36.8607, 44.0000
 1,   0,   0, 7, 45.9175, 36.4210
 1,   0,   0, 8,  0.0000, 29.4210
 1,   0,   0, 9,  0.0000, 28.2277
 2,   0,  50, 1, 61.9331, 44.6355
 2,   0,  50, 2, 60.2832, 45.0001
 2,   0,  50, 3,  0.0000, 31.6355
 2,   0,  50, 4, 24.0226, 29.3906
 2,   0,  50, 5, 22.7471, 46.3905
 2,   0,  50, 6, 48.7610, 44.0001
 2,   0,  50, 7, 60.5734, 36.6355
 2,   0,  50, 8,  0.0000, 29.6355
 2,   0,  50, 9, 25.9726, 28.3906
 3,   0, 100, 1, 72.1956, 44.8510
 3,   0, 100, 2, 70.5884, 45.0005
 3,   0, 100, 3,  0.0000, 31.8510
 3,   0, 100, 4, 46.1346, 29.5547
 3,   0, 100, 5, 28.7018, 46.5542
 3,   0, 100, 6, 61.7422, 44.0005
 3,   0, 100, 7, 76.2109, 36.8510
 3,   0, 100, 8,  0.0000, 29.8510
 3,   0, 100, 9, 53.8614, 28.5546
 4,   0, 150, 1, 81.5500, 45.0675
 4,   0, 150, 2, 80.2050, 45.0012
 4,   0, 150, 3,  0.0000, 32.0675
 4,   0, 150, 4, 66.4033, 29.7199
 4,   0, 150, 5, 35.0748, 46.7188
 4,   0, 150, 6, 75.7990, 44.0016
 4,   0, 150, 7, 92.7842, 37.0675
 4,   0, 150, 8,  0.0000, 30.0675
 4,   0, 150, 9, 83.5999, 28.7204
 5,   0, 200, 1, 90.0204, 45.2848
 5,   0, 200, 2, 89.1318, 45.0024
 5,   0, 200, 3,  0.0000, 32.2848
 5,   0, 200, 4, 84.8648, 29.8865
 5,   0, 200, 5, 41.8594, 46.8843
 5,   0, 200, 6, 90.9336, 44.0045
 5,   0, 200, 7,110.2606, 37.2848
 5,   0, 200, 8,  0.0000, 30.2848
 5,   0, 200, 9,115.1385, 28.8886
 6,   0, 250, 1, 97.6740, 45.5031
 6,   0, 250, 2, 97.4128, 45.0040
 6,   0, 250, 3,  0.0000, 32.5031
 6,   0, 250, 4,101.6490, 30.0543
 6,   0, 250, 5, 49.0359, 47.0506
 6,   0, 250, 6,107.1139, 44.0105
 6,   0, 250, 7,128.5714, 37.5031
 6,   0, 250, 8,  0.0000, 30.5031
 6,   0, 250, 9,148.3526, 29.0608
 7,   0, 300, 1,104.5615, 45.7221
 7,   0, 300, 2,105.0757, 45.0062
 7,   0, 300, 3,  0.0000, 32.7221
 7,   0, 300, 4,116.8519, 30.2235
 7,   0, 300, 5, 56.5926, 47.2176
 7,   0, 300, 6,124.3158, 44.0219
 7,   0, 300, 7,147.6736, 37.7221
 7,   0, 300, 8,  0.0000, 30.7221
 7,   0, 300, 9,183.1433, 29.2391
 8,   0, 350, 1,110.7241, 45.9422
 8,   0, 350, 2,112.1431, 45.0090
 8,   0, 350, 3,  0.0000, 32.9422
 8,   0, 350, 4,130.5512, 30.3939
 8,   0, 350, 5, 64.5314, 47.3856
 8,   0, 350, 6,142.5330, 44.0418
 8,   0, 350, 7,167.5565, 37.9422
 8,   0, 350, 8,  0.0000, 30.9422
 8,   0, 350, 9,219.4435, 29.4268
 9,   0, 400, 1,116.2078, 46.1634
 9,   0, 400, 2,118.6411, 45.0121
 9,   0, 400, 3,  0.0000, 33.1634
 9,   0, 400, 4,142.8352, 30.5658
 9,   0, 400, 5, 72.8585, 47.5546
 9,   0, 400, 6,161.7455, 44.0748
 9,   0, 400, 7,188.2202, 38.1634
 9,   0, 400, 8,  0.0000, 31.1634
 9,   0, 400, 9,257.1619, 29.6285
10,  50,   0, 1, 63.1443, 44.7455
10,  50,   0, 2, 61.5397, 45.0001
10,  50,   0, 3, 23.7921, 31.7455
10,  50,   0, 4,  0.0000, 29.3960
10,  50,   0, 5, 23.2080, 46.3960
10,  50,   0, 6, 49.7085, 44.0000
10,  50,   0, 7, 61.6309, 36.7455
10,  50,   0, 8, 26.2038, 29.7455
10,  50,   0, 9,  0.0000, 28.3960
11,  50,  50, 1, 61.8206, 44.8178
11,  50,  50, 2, 60.2725, 45.0001
11,  50,  50, 3, 21.2566, 31.8178
11,  50,  50, 4, 23.8902, 29.4818
11,  50,  50, 5, 22.7940, 46.4817
11,  50,  50, 6, 48.8772, 44.0001
11,  50,  50, 7, 60.5638, 36.8178
11,  50,  50, 8, 24.4197, 29.8178
11,  50,  50, 9, 26.1068, 28.4818
12,  50, 100, 1, 63.4078, 44.8548
12,  50, 100, 2, 61.8684, 45.0002
12,  50, 100, 3, 24.2968, 31.8548
12,  50, 100, 4, 27.3252, 29.5054
12,  50, 100, 5, 23.0931, 46.5053
12,  50, 100, 6, 49.5307, 44.0001
12,  50, 100, 7, 61.3291, 36.8548
12,  50, 100, 8, 25.7005, 29.8548
12,  50, 100, 9, 27.4943, 28.5054
13,  50, 150, 1, 63.4078, 44.8548
13,  50, 150, 2, 61.8684, 45.0002
13,  50, 150, 3, 24.2968, 31.8548
13,  50, 150, 4, 27.3252, 29.5054
13,  50, 150, 5, 23.0931, 46.5053
13,  50, 150, 6, 49.5307, 44.0001
13,  50, 150, 7, 61.3291, 36.8548
13,  50, 150, 8, 25.7005, 29.8548
13,  50, 150, 9, 27.4943, 28.5054
14,  50, 200, 1, 63.4078, 44.8548
14,  50, 200, 2, 61.8684, 45.0002
14,  50, 200, 3, 24.2968, 31.8548
14,  50, 200, 4, 27.3252, 29.5054
14,  50, 200, 5, 23.0931, 46.5053
14,  50, 200, 6, 49.5307, 44.0001
14,  50, 200, 7, 61.3291, 36.8548
14,  50, 200, 8, 25.7005, 29.8548
14,  50, 200, 9, 27.4943, 28.5054
15,  50, 250, 1, 63.4078, 44.8548
15,  50, 250, 2, 61.8684, 45.0002
15,  50, 250, 3, 24.2968, 31.8548
15,  50, 250, 4, 27.3252, 29.5054
15,  50, 250, 5, 23.0931, 46.5053
15,  50, 250, 6, 49.5307, 44.0001
15,  50, 250, 7, 61.3291, 36.8548
15,  50, 250, 8, 25.7005, 29.8548
15,  50, 250, 9, 27.4943, 28.5054
16,  50, 300, 1, 63.4078, 44.8548
16,  50, 300, 2, 61.8684, 45.0002
16,  50, 300, 3, 24.2968, 31.8548
16,  50, 300, 4, 27.3252, 29.5054
16,  50, 300, 5, 23.0931, 46.5053
16,  50, 300, 6, 49.5307, 44.0001
16,  50, 300, 7, 61.3291, 36.8548
16,  50, 300, 8, 25.7005, 29.8548
16,  50, 300, 9, 27.4943, 28.5054
17,  50, 350, 1, 63.4078, 44.8548
17,  50, 350, 2, 61.8684, 45.0002
17,  50, 350, 3, 24.2968, 31.8548
17,  50, 350, 4, 27.3252, 29.5054
17,  50, 350, 5, 23.0931, 46.5053
17,  50, 350, 6, 49.5307, 44.0001
17,  50, 350, 7, 61.3291, 36.8548
17,  50, 350, 8, 25.7005, 29.8548
17,  50, 350, 9, 27.4943, 28.5054
18,  50, 400, 1, 63.4078, 44.8548
18,  50, 400, 2, 61.8684, 45.0002
18,  50, 400, 3, 24.2968, 31.8548
18,  50, 400, 4, 27.3252, 29.5054
18,  50, 400, 5, 23.0931, 46.5053
18,  50, 400, 6, 49.5307, 44.0001
18,  50, 400, 7, 61.3291, 36.8548
18,  50, 400, 8, 25.7005, 29.8548
